timestamp_desired_position_mm;desired_position_mm;error_mm;position_mm;speed_rpm
1684270969646;20;0;0;23.830706659888154
1684270969651;20;0;0;23.830706659888154
1684270969656;20;0;0;23.830706659888154
1684270969661;20;0;0;23.830706659888154
1684270969666;20;0;0;23.830706659888154
1684270969671;20;0;0;23.830706659888154
1684270969676;20;0;0;23.830706659888154
1684270969680;20;0;0;23.830706659888154
1684270969685;20;0;0;23.830706659888154
1684270969690;20;0;0;23.830706659888154
1684270969695;20;0;0;23.830706659888154
1684270969700;20;0;0;23.830706659888154
1684270969705;20;0;0;23.830706659888154
1684270969709;20;0;0;23.830706659888154
1684270969714;20;0;0;23.830706659888154
1684270969719;20;0;0;23.830706659888154
1684270969724;20;0;0;23.830706659888154
1684270969728;20;0;0;23.830706659888154
1684270969732;20;0;0;23.830706659888154
1684270969737;20;0;0;23.830706659888154
1684270969741;20;0;0;23.830706659888154
1684270969745;20;0;0;23.830706659888154
1684270969750;20;0;0;23.830706659888154
1684270969754;20;0;0;23.830706659888154
1684270969758;20;0;0;23.830706659888154
1684270969762;20;0;0;23.830706659888154
1684270969767;20;0;0;23.830706659888154
1684270969771;20;0;0;23.830706659888154
1684270969775;20;0;0;23.830706659888154
1684270969779;20;0;0;23.830706659888154
1684270969788;20;0;0;23.830706659888154
1684270969798;20;0;0;23.830706659888154
1684270969802;20;0;0;23.830706659888154
1684270969806;20;0;0;23.830706659888154
1684270969810;20;0;0;23.830706659888154
1684270969814;20;0;0;23.830706659888154
1684270969822;20;0;0;23.830706659888154
1684270969829;20;0;0;23.830706659888154
1684270969833;20;0;0;23.830706659888154
1684270969837;20;0;0;23.830706659888154
1684270969841;20;0;0;23.830706659888154
1684270969845;20;0;0;23.830706659888154
1684270969849;20;0;0;23.830706659888154
1684270969853;20;0;0;23.830706659888154
1684270969857;20;0;0;23.830706659888154
1684270969863;20;0;0;23.830706659888154
1684270969868;20;0;0;23.830706659888154
1684270969872;20;0;0;23.830706659888154
1684270969876;20;0;0;23.830706659888154
1684270969880;20;0;0;23.830706659888154
1684270969885;20;0;0;23.830706659888154
1684270969889;20;0;0;23.830706659888154
1684270969893;20;0;0;23.830706659888154
1684270969897;20;0;0;23.830706659888154
1684270969902;20;0;0;23.830706659888154
1684270969907;20;0;0;23.830706659888154
1684270969911;20;0;0;23.830706659888154
1684270969915;20;0;0;23.830706659888154
1684270969920;20;0;0;23.830706659888154
1684270969924;20;0;0;23.830706659888154
1684270969927;20;0;0;23.830706659888154
1684270969931;20;0;0;23.830706659888154
1684270969936;20;0;0;23.830706659888154
1684270969940;20;0;0;23.830706659888154
1684270969945;20;0;0;23.830706659888154
1684270969949;20;0;0;23.830706659888154
1684270969953;20;0;0;23.830706659888154
1684270969957;20;0;0;23.830706659888154
1684270969961;20;0;0;23.830706659888154
1684270969964;20;0;0;23.830706659888154
1684270969969;20;0;0;23.830706659888154
1684270969973;20;0;0;23.830706659888154
1684270969977;20;0;0;23.830706659888154
1684270969982;20;0;0;23.830706659888154
1684270969987;20;0;0;23.830706659888154
1684270969991;20;0;0;23.830706659888154
1684270969995;20;0;0;23.830706659888154
1684270969999;20;0;0;23.830706659888154
1684270970003;20;0;0;23.830706659888154
1684270970007;20;0;0;23.830706659888154
1684270970012;20;0;0;23.830706659888154
1684270970018;20;0;0;23.830706659888154
1684270970023;20;0;0;23.830706659888154
1684270970027;20;-130.6859093730602;150.66418373680943;23.830706659888154
1684270970030;20;-130.6859093730602;150.66418373680943;23.830706659888154
1684270970035;20;-130.6859093730602;150.66418373680943;23.830706659888154
1684270970039;20;-130.6859093730602;150.66418373680943;23.830706659888154
1684270970042;20;-130.6859093730602;150.66418373680943;23.830706659888154
1684270970046;20;-130.6859093730602;150.66418373680943;23.830706659888154
1684270970051;20;-130.5586592178771;150.53693358162633;1.9934508494758554
1684270970056;20;-130.5586592178771;150.53693358162633;1.9934508494758554
1684270970059;20;-130.5586592178771;150.53693358162633;1.9934508494758554
1684270970063;20;-130.5586592178771;150.53693358162633;61.31458469587966
1684270970068;20;-130.5586592178771;150.53693358162633;61.31458469587966
1684270970072;20;-130.5586592178771;150.53693358162633;61.31458469587966
1684270970076;20;-130.17690875232776;150.15518311607698;78.05995004163198
1684270970080;20;-130.17690875232776;150.15518311607698;78.05995004163198
1684270970084;20;-130.17690875232776;150.15518311607698;90.31788461194448
1684270970089;20;-130.17690875232776;150.15518311607698;90.3179190751445
1684270970093;20;-130.17690875232776;150.15518311607698;90.3179190751445
1684270970097;20;-130.17690875232776;150.15518311607698;97.75808133472367
1684270970101;20;-129.54065797641218;149.5189323401614;97.75808133472367
1684270970105;20;-129.54065797641218;149.5189323401614;97.86012526096033
1684270970109;20;-129.54065797641218;149.5189323401614;97.86012526096033
1684270970112;20;-129.54065797641218;149.5189323401614;97.86012526096033
1684270970117;20;-129.54065797641218;149.5189323401614;101.35135135135135
1684270970122;20;-129.54065797641218;149.5189323401614;103.93569844789357
1684270970126;20;-128.7771570453135;148.7554314090627;103.93569844789357
1684270970130;20;-128.7771570453135;148.7554314090627;107.51146788990826
1684270970134;20;-128.7771570453135;148.7554314090627;107.51146788990826
1684270970138;20;-128.7771570453135;148.7554314090627;107.51146788990826
1684270970142;20;-128.7771570453135;148.7554314090627;102.79605263157895
