timestamp_desired_position_mm;desired_position_mm;error_mm;position_mm;speed_rpm
1684190365543;20;0;0;17.167185497161693
1684190365549;20;0;0;17.167185497161693
1684190365554;20;0;0;17.167185497161693
1684190365559;20;0;0;17.167185497161693
1684190365565;20;0;0;17.167185497161693
1684190365570;20;0;0;17.167185497161693
1684190365575;20;0;0;17.167185497161693
1684190365579;20;0;0;17.167185497161693
1684190365585;20;0;0;17.167185497161693
1684190365590;20;0;0;17.167185497161693
1684190365594;20;0;0;17.167185497161693
1684190365600;20;0;0;17.167185497161693
1684190365605;20;0;0;17.167185497161693
1684190365609;20;0;0;17.167185497161693
1684190365614;20;0;0;17.167185497161693
1684190365619;20;0;0;17.167185497161693
1684190365623;20;0;0;17.167185497161693
1684190365627;20;0;0;17.167185497161693
1684190365632;20;0;0;17.167185497161693
1684190365636;20;0;0;17.167185497161693
1684190365641;20;0;0;17.167185497161693
1684190365645;20;0;0;17.167185497161693
1684190365650;20;0;0;17.167185497161693
1684190365655;20;0;0;17.167185497161693
1684190365659;20;0;0;17.167185497161693
1684190365664;20;0;0;17.167185497161693
1684190365668;20;0;0;17.167185497161693
1684190365673;20;0;0;17.167185497161693
1684190365677;20;0;0;17.167185497161693
1684190365682;20;0;0;17.167185497161693
1684190365687;20;0;0;17.167185497161693
1684190365691;20;0;0;17.167185497161693
1684190365696;20;0;0;17.167185497161693
1684190365701;20;0;0;17.167185497161693
1684190365705;20;0;0;17.167185497161693
1684190365710;20;0;0;17.167185497161693
1684190365721;20;0;0;17.167185497161693
1684190365734;20;0;0;17.167185497161693
1684190365739;20;0;0;17.167185497161693
1684190365743;20;0;0;17.167185497161693
1684190365747;20;0;0;17.167185497161693
1684190365751;20;0;0;17.167185497161693
1684190365755;20;0;0;17.167185497161693
1684190365762;20;0;0;17.167185497161693
1684190365771;20;0;0;17.167185497161693
1684190365775;20;0;0;17.167185497161693
1684190365779;20;0;0;17.167185497161693
1684190365783;20;0;0;17.167185497161693
1684190365787;20;0;0;17.167185497161693
1684190365791;20;0;0;17.167185497161693
1684190365795;20;0;0;17.167185497161693
1684190365799;20;0;0;17.167185497161693
1684190365804;20;0;0;17.167185497161693
1684190365809;20;0;0;17.167185497161693
1684190365812;20;0;0;17.167185497161693
1684190365817;20;0;0;17.167185497161693
1684190365821;20;0;0;17.167185497161693
1684190365825;20;0;0;17.167185497161693
1684190365829;20;0;0;17.167185497161693
1684190365833;20;0;0;17.167185497161693
1684190365837;20;0;0;17.167185497161693
1684190365841;20;0;0;17.167185497161693
1684190365846;20;0;0;17.167185497161693
1684190365850;20;0;0;17.167185497161693
1684190365854;20;0;0;17.167185497161693
1684190365858;20;0;0;17.167185497161693
1684190365862;20;0;0;17.167185497161693
1684190365867;20;0;0;17.167185497161693
1684190365871;20;0;0;17.167185497161693
1684190365876;20;0;0;17.167185497161693
1684190365882;20;0;0;17.167185497161693
1684190365887;20;0;0;17.167185497161693
1684190365892;20;0;0;17.167185497161693
1684190365896;20;0;0;17.167185497161693
1684190365901;20;0;0;17.167185497161693
1684190365905;20;0;0;17.167185497161693
1684190365910;20;0;0;17.167185497161693
1684190365914;20;0;0;17.167185497161693
1684190365919;20;0;0;17.167185497161693
1684190365924;20;0;0;17.167185497161693
1684190365929;20;0;0;17.167185497161693
1684190365933;20;0;0;17.167185497161693
1684190365937;20;0;0;17.167185497161693
1684190365941;20;0;0;17.167185497161693
1684190365946;20;0;0;17.167185497161693
1684190365951;20;0;0;17.167185497161693
1684190365955;20;-185.1489757914339;205.12725015518313;17.167185497161693
1684190365960;20;-185.1489757914339;205.12725015518313;17.167185497161693
1684190365966;20;-185.1489757914339;205.12725015518313;17.167185497161693
1684190365971;20;-185.1489757914339;205.12725015518313;17.167185497161693
1684190365976;20;-185.1489757914339;205.12725015518313;17.167185497161693
1684190365980;20;-185.1489757914339;205.12725015518313;17.167185497161693
1684190365985;20;-185.1489757914339;205.12725015518313;17.167185497161693
1684190365990;20;-185.1489757914339;205.12725015518313;17.167185497161693
1684190365994;20;-185.1489757914339;205.12725015518313;17.167185497161693
1684190365999;20;-185.1489757914339;205.12725015518313;2.120752838981134
1684190366003;20;-184.89447548106767;204.8727498448169;2.120752838981134
1684190366009;20;-184.89447548106767;204.8727498448169;79.9914675767918
1684190366014;20;-184.89447548106767;204.8727498448169;79.9914675767918
1684190366019;20;-184.89447548106767;204.8727498448169;86.40552995391705
1684190366024;20;-184.89447548106767;204.8727498448169;86.40552995391705
1684190366028;20;-184.89447548106767;204.8727498448169;86.0091743119266
1684190366033;20;-184.89447548106767;204.8727498448169;86.0091743119266
1684190366038;20;-184.89447548106767;204.8727498448169;93.00595238095238
1684190366042;20;-184.89447548106767;204.8727498448169;93.00595238095238
1684190366048;20;-184.89447548106767;204.8727498448169;95.76098059244127
1684190366052;20;-183.7492240844196;203.72749844816886;95.76098059244127
1684190366056;20;-183.7492240844196;203.72749844816886;95.76098059244127
1684190366060;20;-183.7492240844196;203.72749844816886;98.58044164037855
1684190366064;20;-183.7492240844196;203.72749844816886;98.58044164037855
1684190366068;20;-183.7492240844196;203.72749844816886;100.69817400644469
1684190366072;20;-183.7492240844196;203.72749844816886;100.69817400644469
1684190366076;20;-183.7492240844196;203.72749844816886;96.74922600619195
1684190366081;20;-183.7492240844196;203.72749844816886;96.74922600619195
1684190366086;20;-183.7492240844196;203.72749844816886;99.84025559105432
1684190366091;20;-183.7492240844196;203.72749844816886;99.84025559105432
1684190366095;20;-183.7492240844196;203.72749844816886;102.45903000511682
1684190366098;20;-183.7492240844196;203.72749844816886;102.45901639344262
